Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Stephen Baggett (11182497),Stephen Baggett,11182497,TE/FLEX,2500,PIT@CLE 09/09/2018 01:00PM ET,CLE,0
TE,Alex Ellis (10982407),Alex Ellis,10982407,TE/FLEX,2500,KC@LAC 09/09/2018 04:05PM ET,KC,0
TE,James Winchester (10982409),James Winchester,10982409,TE/FLEX,2500,KC@LAC 09/09/2018 04:05PM ET,KC,0
TE,Blake Mack (10982411),Blake Mack,10982411,TE/FLEX,2500,KC@LAC 09/09/2018 04:05PM ET,KC,0
TE,Tim Wright (10982413),Tim Wright,10982413,TE/FLEX,2500,KC@LAC 09/09/2018 04:05PM ET,KC,0
TE,Jace Amaro (10982415),Jace Amaro,10982415,TE/FLEX,2500,KC@LAC 09/09/2018 04:05PM ET,KC,0
TE,Ben Johnson (10982417),Ben Johnson,10982417,TE/FLEX,2500,KC@LAC 09/09/2018 04:05PM ET,LAC,0
TE,Hunter Henry (10982419),Hunter Henry,10982419,TE/FLEX,2500,KC@LAC 09/09/2018 04:05PM ET,LAC,9.06
TE,Braedon Bowman (10982421),Braedon Bowman,10982421,TE/FLEX,2500,KC@LAC 09/09/2018 04:05PM ET,LAC,0
TE,Sean Culkin (10982423),Sean Culkin,10982423,TE/FLEX,2500,KC@LAC 09/09/2018 04:05PM ET,LAC,0
TE,Austin Roberts (10982425),Austin Roberts,10982425,TE/FLEX,2500,KC@LAC 09/09/2018 04:05PM ET,LAC,0
TE,Cole Hunt (10982427),Cole Hunt,10982427,TE/FLEX,2500,KC@LAC 09/09/2018 04:05PM ET,LAC,0
TE,Je'Ron Hamm (11182483),Je'Ron Hamm,11182483,TE/FLEX,2500,KC@LAC 09/09/2018 04:05PM ET,LAC,0
TE,Kyle Carter (10982275),Kyle Carter,10982275,TE/FLEX,2500,SEA@DEN 09/09/2018 04:25PM ET,SEA,0
TE,Troy Fumagalli (10982429),Troy Fumagalli,10982429,TE/FLEX,2500,SEA@DEN 09/09/2018 04:25PM ET,DEN,0
TE,Austin Traylor (10982431),Austin Traylor,10982431,TE/FLEX,2500,SEA@DEN 09/09/2018 04:25PM ET,DEN,2.57
TE,Matt LaCosse (10982433),Matt LaCosse,10982433,TE/FLEX,2500,SEA@DEN 09/09/2018 04:25PM ET,DEN,0
TE,Brian Parker (10982435),Brian Parker,10982435,TE/FLEX,2500,SEA@DEN 09/09/2018 04:25PM ET,DEN,0
TE,Tyler Ott (10982437),Tyler Ott,10982437,TE/FLEX,2500,SEA@DEN 09/09/2018 04:25PM ET,SEA,0
TE,Tyrone Swoopes (10982439),Tyrone Swoopes,10982439,TE/FLEX,2500,SEA@DEN 09/09/2018 04:25PM ET,SEA,0
TE,Will Dissly (10982441),Will Dissly,10982441,TE/FLEX,2500,SEA@DEN 09/09/2018 04:25PM ET,SEA,0
TE,Clayton Wilson (10982443),Clayton Wilson,10982443,TE/FLEX,2500,SEA@DEN 09/09/2018 04:25PM ET,SEA,0
TE,Jason Reese (10982305),Jason Reese,10982305,TE/FLEX,2500,DAL@CAR 09/09/2018 04:25PM ET,CAR,0
TE,David Wells (10982445),David Wells,10982445,TE/FLEX,2500,DAL@CAR 09/09/2018 04:25PM ET,DAL,0
TE,Geoff Swaim (10982447),Geoff Swaim,10982447,TE/FLEX,2500,DAL@CAR 09/09/2018 04:25PM ET,DAL,0.3
TE,Blake Jarwin (10982449),Blake Jarwin,10982449,TE/FLEX,2500,DAL@CAR 09/09/2018 04:25PM ET,DAL,0
TE,Dalton Schultz (10982451),Dalton Schultz,10982451,TE/FLEX,2500,DAL@CAR 09/09/2018 04:25PM ET,DAL,0
TE,Rico Gathers (10982453),Rico Gathers,10982453,TE/FLEX,2500,DAL@CAR 09/09/2018 04:25PM ET,DAL,0
TE,Chris Manhertz (10982455),Chris Manhertz,10982455,TE/FLEX,2500,DAL@CAR 09/09/2018 04:25PM ET,CAR,0.23
TE,Jason Vander Laan (10982457),Jason Vander Laan,10982457,TE/FLEX,2500,DAL@CAR 09/09/2018 04:25PM ET,CAR,0
TE,Ian Thomas (10982459),Ian Thomas,10982459,TE/FLEX,2500,DAL@CAR 09/09/2018 04:25PM ET,CAR,0
TE,Evan Baylis (10982461),Evan Baylis,10982461,TE/FLEX,2500,DAL@CAR 09/09/2018 04:25PM ET,CAR,0
TE,Cam Serigne (11182491),Cam Serigne,11182491,TE/FLEX,2500,DAL@CAR 09/09/2018 04:25PM ET,CAR,0
TE,Alec Bloom (10982463),Alec Bloom,10982463,TE/FLEX,2500,WAS@ARI 09/09/2018 04:25PM ET,ARI,0
TE,Andrew Vollert (10982465),Andrew Vollert,10982465,TE/FLEX,2500,WAS@ARI 09/09/2018 04:25PM ET,ARI,0
TE,Chris Bazile (10982467),Chris Bazile,10982467,TE/FLEX,2500,WAS@ARI 09/09/2018 04:25PM ET,ARI,0
TE,Bryce Williams (10982469),Bryce Williams,10982469,TE/FLEX,2500,WAS@ARI 09/09/2018 04:25PM ET,ARI,0
TE,Gabe Holmes (10982471),Gabe Holmes,10982471,TE/FLEX,2500,WAS@ARI 09/09/2018 04:25PM ET,ARI,0
TE,Garrett Hudson (10982473),Garrett Hudson,10982473,TE/FLEX,2500,WAS@ARI 09/09/2018 04:25PM ET,WAS,0
TE,Jeremy Sprinkle (10982475),Jeremy Sprinkle,10982475,TE/FLEX,2500,WAS@ARI 09/09/2018 04:25PM ET,WAS,0.84
TE,Matt Flanagan (10982477),Matt Flanagan,10982477,TE/FLEX,2500,WAS@ARI 09/09/2018 04:25PM ET,WAS,0
TE,Manasseh Garner (10982479),Manasseh Garner,10982479,TE/FLEX,2500,WAS@ARI 09/09/2018 04:25PM ET,WAS,0
DST,Cardinals  (10982495),Cardinals ,10982495,DST,2500,WAS@ARI 09/09/2018 04:25PM ET,ARI,7
TE,J.P. Holtz (11182489),J.P. Holtz,11182489,TE/FLEX,2500,WAS@ARI 09/09/2018 04:25PM ET,WAS,0
DST,Patriots  (10982496),Patriots ,10982496,DST,2400,HOU@NE 09/09/2018 01:00PM ET,NE,7.78
DST,Dolphins  (10982497),Dolphins ,10982497,DST,2400,TEN@MIA 09/09/2018 01:00PM ET,MIA,5.75
DST,Colts  (10982498),Colts ,10982498,DST,2400,CIN@IND 09/09/2018 01:00PM ET,IND,5.56
DST,Chiefs  (10982500),Chiefs ,10982500,DST,2300,KC@LAC 09/09/2018 04:05PM ET,KC,7.71
DST,Cowboys  (10982499),Cowboys ,10982499,DST,2300,DAL@CAR 09/09/2018 04:25PM ET,DAL,7.19
DST,Texans  (10982501),Texans ,10982501,DST,2200,HOU@NE 09/09/2018 01:00PM ET,HOU,5.19
DST,49ers  (10982502),49ers ,10982502,DST,2100,SF@MIN 09/09/2018 01:00PM ET,SF,4.94
DST,Buccaneers  (10982503),Buccaneers ,10982503,DST,2000,TB@NO 09/09/2018 01:00PM ET,TB,6.75
DST,Browns  (10982504),Browns ,10982504,DST,2000,PIT@CLE 09/09/2018 01:00PM ET,CLE,4.69
